,,,,Holder,Holder
,,,,Claim,Claim
OL: Meta [Form Name],OL: Meta [Form Description],CB: Attribute Name,OL: Label,OL: Entry,OL: Information
Biometric,A schema to be used for biometric root-of-trust,photo,Personal/Operational|Photo,,Biometric of the recipient
Event Recipient,A schema to be used for event recipient identification for basic interoperability,givenName,Person identification|Person name|First name,,The legal first name of the recipient
Event Recipient,A schema to be used for event recipient identification for basic interoperability,middleName,Person identification|Person name|Middle name(s),,The legal middle name(s) of the recipient
Event Recipient,A schema to be used for event recipient identification for basic interoperability,familyName,Person identification|Person name|Last name,,The legal last name of the recipient
Event Recipient,A schema to be used for event recipient identification for basic interoperability,birthDate,Person identification|Person date of birth,,Recipient’s date of birth. Mandatory if no identification document number is provided.
Good Health Pass,A minimum set of data required for a verifier to make a particular trust decision,linkedCredential,Personal/Operational|Linked credential ID(s),,Unique identifier(s) of associated credential(s)
Good Health Pass,A minimum set of data required for a verifier to make a particular trust decision,recipient,Person identification|Event recipient,,The resource identifier of the schema used for event recipient identification.
Good Health Pass,A minimum set of data required for a verifier to make a particular trust decision,status,Operational|Pass Status,Pass|Fail,Trust decision made by the verifier
Vaccination Credential,A form to be used for verifiable COVID-19 vaccination credentials for basic interoperability,linkedVaccineCertificate,Personal/Operational|Linked vaccination certificate ID,,Unique identifier of the associated vaccination certificate
Vaccination Credential,A form to be used for verifiable COVID-19 vaccination credentials for basic interoperability,recipient,Person identification|Event recipient,,The resource identifier for a schema used for event recipient identification.
Vaccination Credential,A form to be used for verifiable COVID-19 vaccination credentials for basic interoperability,disease,Vaccination/prophylaxis information|Disease or agent targeted|Classification of Disease,"COVID-19, Virus identified|COVID-19, Virus not identified",Disease or agent that the vaccination provides protection against
Vaccination Credential,A form to be used for verifiable COVID-19 vaccination credentials for basic interoperability,vaccineDescription,Vaccination/prophylaxis information|Vaccine/prophylaxis|Vaccine description,Vaccine product containing only Severe acute respiratory syndrome coronavirus 2 antigen (medicinal product)|Vaccine product containing only Severe acute respiratory syndrome coronavirus 2 messenger ribonucleic acid (medicinal product)|Vaccine product containing Severe acute respiratory syndrome coronavirus 2 antigen or Severe acute respiratory syndrome coronavirus 2 messenger ribonucleic acid (medicinal product),Generic description of the vaccine/prophylaxis
Vaccination Credential,A form to be used for verifiable COVID-19 vaccination credentials for basic interoperability,vaccineType,Vaccination/prophylaxis information|Vaccine/prophylaxis|Vaccine type,COVID-19 mRNA vaccine|COVID-19 antigen vaccine,Generic description of the vaccine/prophylaxis or its component(s) [J07BX03 covid-19 vaccines]
Vaccination Credential,A form to be used for verifiable COVID-19 vaccination credentials for basic interoperability,medicinalProductName,Vaccination/prophylaxis information|Vaccine medicinal product,Moderna COVID-19 Vaccine|Pfizer-Biontech COVID-19 Vaccine|AstraZeneca COVID-19 Vaccine|Janssen COVID-19 Vaccine,Medicinal product name
Vaccination Credential,A form to be used for verifiable COVID-19 vaccination credentials for basic interoperability,cvxCode,Vaccination/prophylaxis information|CVX code,Moderna vaccine CVX code|Pfizer-Biontech vaccine CVX code|AstraZeneca vaccine CVX code|Janssen vaccine CVX code,CVX code (North America only)
Vaccination Credential,A form to be used for verifiable COVID-19 vaccination credentials for basic interoperability,marketingAuthorizationHolder,Vaccination/prophylaxis information|Marketing Authorisation Holder,"Moderna US, Inc.|Pfizer, Inc.|AstraZeneca Pharmaceuticals LP|Janssen Products, LP",Marketing Authorisation Holder
Vaccination Credential,A form to be used for verifiable COVID-19 vaccination credentials for basic interoperability,doseNumber,Vaccination/prophylaxis information|Number of dose administered in a cycle,,Number of dose administered in a cycle
Vaccination Credential,A form to be used for verifiable COVID-19 vaccination credentials for basic interoperability,dosesPerCycle,Vaccination/prophylaxis information|Number of expected doses for a complete cycle,,Number of expected doses for a complete cycle (specific for a person at the time of administration)
Vaccination Credential,A form to be used for verifiable COVID-19 vaccination credentials for basic interoperability,dateOfVaccination,Vaccination/prophylaxis information|Date of vaccination,,The date the vaccination event occurred (or was intended to occur)
Vaccination Credential,A form to be used for verifiable COVID-19 vaccination credentials for basic interoperability,stateOfVaccination,Vaccination/prophylaxis information|State of vaccination,Alabama|Alaska|American Samoa|Arizona|Arkansas|California|Colorado|Connecticut|Delaware|District of Columbia|Federated States of Micronesia|Florida|Georgia|Guam|Hawaii|Idaho|Illinois|Indiana|Iowa|Kansas|Kentucky|Louisiana|Maine|Marshall Islands|Maryland|Massachusetts|Michigan|Minnesota|Mississippi|Missouri|Montana|Nebraska|Nevada|New Hampshire|New Jersey|New Mexico|New York|North Carolina|North Dakota|Northern Mariana Islands|Ohio|Oklahoma|Oregon|Palau|Pennsylvania|Puerto Rico|Rhode Island|South Carolina|South Dakota|Tennessee|Texas|Utah|Vermont|Virgin Islands|Virginia|Washington|West Virginia|Wisconsin|Wyoming,The state in which the individual has been vaccinated
Vaccination Credential,A form to be used for verifiable COVID-19 vaccination credentials for basic interoperability,countryOfVaccination,Vaccination/prophylaxis information|Country of vaccination,American Samoa|Guam|Marshall Islands (the)|Micronesia (Federated States of)|Northern Mariana Islands (the)|Palau|Puerto Rico|United States of America (the)|Virgin Islands (U.S.),The country in which the individual has been vaccinated
Vaccination Credential,A form to be used for verifiable COVID-19 vaccination credentials for basic interoperability,certificateIssuer,Certificate metadata|Certificate issuer,,Entity that has issued the certificate (allowing to check the certificate)
Vaccination Credential,A form to be used for verifiable COVID-19 vaccination credentials for basic interoperability,certificateNumber,Certificate metadata|Certificate Identifier,,"Unique identifier of the certificate (UVCI), to be printed (human readable) into the certificate; the unique identifier can be included in the IIS"
COVID-19 Antigen Test Credential,A form to be used for verifiable COVID-19 antigen test credentials for basic interoperability,linkedTestCertificate,Personal/Operational|Linked test certificate ID,,Unique identifier of the associated test certificate
COVID-19 Antigen Test Credential,A form to be used for verifiable COVID-19 antigen test credentials for basic interoperability,recipient,Person identification|Event recipient,,The resource identifier for a schema used for event recipient identification.
COVID-19 Antigen Test Credential,A form to be used for verifiable COVID-19 antigen test credentials for basic interoperability,disease,Test information|Disease or agent targeted|Classification of Disease,Need for immunization against COVID-19|Adverse reaction to a COVID-19 vaccine,Disease or agent that the test provides detection of.
COVID-19 Antigen Test Credential,A form to be used for verifiable COVID-19 antigen test credentials for basic interoperability,testDescription,Test information|Test|Test description,Antibody to severe acute respiratory syndrome coronavirus 2 (substance)|Antigen of severe acute respiratory syndrome coronavirus 2 (substance)|Immunoglobulin G antibody to Severe acute respiratory syndrome coronavirus 2 (substance)|Immunoglobulin M antibody to Severe acute respiratory syndrome coronavirus 2 (substance)|Ribonucleic acid of Severe acute respiratory syndrome coronavirus 2 (substance),Generic description of the test
