,,,,Poseedor,Poseedor
,,,,Afirmar,Afirmar
OL: Meta [Nombre del formulario],OL: Meta [Descripción del formulario],CB: Nombre del Atributo,OL: Etiqueta,OL: Entrada,OL: Información
Biométrico,Un esquema que se utilizará para la raíz de confianza biométrica,photo,Personal/Operacional|Foto,,Biométrico del receptor
Destinatario del evento,Un esquema que se utilizará para la identificación de destinatarios de eventos para la interoperabilidad básica,givenName,Identificación de la persona|Nombre de la persona|Nombre,,El nombre legal del destinatario
Destinatario del evento,Un esquema que se utilizará para la identificación de destinatarios de eventos para la interoperabilidad básica,middleName,Identificación de la persona|Nombre de la persona|Segundo nombre,,El segundo nombre legal del destinatario
Destinatario del evento,Un esquema que se utilizará para la identificación de destinatarios de eventos para la interoperabilidad básica,familyName,Identificación de la persona|Nombre de la persona|Apellido,,El apellido legal del destinatario
Destinatario del evento,Un esquema que se utilizará para la identificación de destinatarios de eventos para la interoperabilidad básica,birthDate,Identificación de la persona|Fecha de nacimiento de la persona,,Fecha de nacimiento del destinatario. Obligatorio si no se proporciona un número de documento de identificación.
Pase de buena salud,Un conjunto mínimo de datos necesarios para que un verificador tome una decisión de confianza en particular,linkedCredential,Personal/Operacional|ID de credenciales vinculadas,,Identificador(es) único(s) de las credenciales asociadas
Pase de buena salud,Un conjunto mínimo de datos necesarios para que un verificador tome una decisión de confianza en particular,recipient,Identificación de la persona|Destinatario del evento,,El identificador de recurso del esquema utilizado para la identificación del destinatario del evento.
Pase de buena salud,Un conjunto mínimo de datos necesarios para que un verificador tome una decisión de confianza en particular,status,Operacional|Estado de aprobación,Pasa|No pasa,Confianza decisión tomada por el verificador
Credencial de vacunación,Un formulario que se utilizará para las credenciales de vacunación COVID-19 verificables para la interoperabilidad básica,linkedVaccineCertificate,Personal/Operacional|ID del certificado de vacunación vinculado,,Identificador único del certificado de vacunación asociado
Credencial de vacunación,Un formulario que se utilizará para las credenciales de vacunación COVID-19 verificables para la interoperabilidad básica,recipient,Identificación de la persona|Destinatario del evento,,El identificador de recurso para un esquema utilizado para la identificación del destinatario del evento.
Credencial de vacunación,Un formulario que se utilizará para las credenciales de vacunación COVID-19 verificables para la interoperabilidad básica,disease,Información sobre vacunación/profilaxis|Enfermedad o agente objetivo|Clasificación de la enfermedad,"COVID-19, virus identificado|COVID-19, virus no identificado",Enfermedad o agente contra el que la vacuna protege
Credencial de vacunación,Un formulario que se utilizará para las credenciales de vacunación COVID-19 verificables para la interoperabilidad básica,vaccineDescription,Información sobre vacunación/profilaxis|Vacuna/profilaxis|Descripción de la vacuna,Producto vacunal que solo contiene el antígeno del coronavirus 2 del síndrome respiratorio agudo severo (medicamento)|Producto vacunal que contiene únicamente ácido ribonucleico mensajero del coronavirus 2 del síndrome respiratorio agudo severo (medicamento)|Producto vacunal que contiene el antígeno del coronavirus 2 del síndrome respiratorio agudo severo o el coronavirus del síndrome respiratorio agudo severo 2 ácido ribonucleico mensajero (medicamento),Descripción genérica de la vacuna/profilaxis
Credencial de vacunación,Un formulario que se utilizará para las credenciales de vacunación COVID-19 verificables para la interoperabilidad básica,vaccineType,Información sobre vacunación/profilaxis|Vacuna/profilaxis|Tipo de vacuna,Vacuna de ARNm de COVID-19|Vacuna de antígeno COVID-19,Descripción genérica de la vacuna/profilaxis o sus componentes [vacunas covid-19 J07BX03]
Credencial de vacunación,Un formulario que se utilizará para las credenciales de vacunación COVID-19 verificables para la interoperabilidad básica,medicinalProductName,Información sobre vacunación/profilaxis|Medicamento vacunal,COVID-19 Vaccine Moderna dispersión inyectable|Vaxzevria suspensión inyectable|Comirnaty concentrado para dispersión inyectable|COVID-19 Vaccine Janssen suspensión inyectable,Nombre del medicamento
Credencial de vacunación,Un formulario que se utilizará para las credenciales de vacunación COVID-19 verificables para la interoperabilidad básica,marketingAuthorizationHolder,Información sobre vacunación/profilaxis|Titular de la autorización de comercialización,"Moderna Biotech Spain, S.L.|AstraZeneca AB|BioNTech Manufacturing GmbH|Janssen-Cilag International NV",Titular de la autorización de comercialización
Credencial de vacunación,Un formulario que se utilizará para las credenciales de vacunación COVID-19 verificables para la interoperabilidad básica,doseNumber,Información sobre vacunación/profilaxis|Número de dosis administradas en un ciclo,,Número de dosis administradas en un ciclo
Credencial de vacunación,Un formulario que se utilizará para las credenciales de vacunación COVID-19 verificables para la interoperabilidad básica,dosesPerCycle,Información sobre vacunación/profilaxis|Número de dosis previstas para un ciclo completo,,Número de dosis esperadas para un ciclo completo (específico para una persona en el momento de la administración)
Credencial de vacunación,Un formulario que se utilizará para las credenciales de vacunación COVID-19 verificables para la interoperabilidad básica,dateOfVaccination,Información sobre vacunación/profilaxis|Fecha de vacunación,,La fecha en que ocurrió el evento de vacunación (o se pretendía que ocurriera)
Credencial de vacunación,Un formulario que se utilizará para las credenciales de vacunación COVID-19 verificables para la interoperabilidad básica,countryOfVaccination,Información sobre vacunación/profilaxis|País de vacunación,Austria|Bélgica|Bulgaria|Croacia|Chipre|Chequia|Dinamarca|Estonia|Finlandia|Francia|Alemania|Grecia|Hungría|Irlanda|Italia|Letonia|Lituania|Luxemburgo|Malta|Países Bajos (los)|Polonia|Portugal|Rumanía|Eslovaquia|Eslovenia|España|Suecia,El país en el que se ha vacunado a la persona
Credencial de vacunación,Un formulario que se utilizará para las credenciales de vacunación COVID-19 verificables para la interoperabilidad básica,certificateIssuer,Metadatos del certificado|Emisor del certificado,,Entidad que ha emitido el certificado (permitiendo verificar el certificado)
Credencial de vacunación,Un formulario que se utilizará para las credenciales de vacunación COVID-19 verificables para la interoperabilidad básica,certificateNumber,Metadatos del certificado|Identificador de certificado,,"Identificador único del certificado (UVCI), que se imprimirá (legible por humanos) en el certificado; el identificador único se puede incluir en el IIS"
Credencial de prueba de antígeno COVID-19,Un formulario que se utilizará para obtener credenciales de prueba de antígeno COVID-19 verificables para la interoperabilidad básica,linkedTestCertificate,Personal/Operacional|ID de certificado de prueba vinculado,,Identificador único del certificado de prueba asociado
Credencial de prueba de antígeno COVID-19,Un formulario que se utilizará para obtener credenciales de prueba de antígeno COVID-19 verificables para la interoperabilidad básica,recipient,Identificación de la persona|Destinatario del evento,,El identificador de recurso para un esquema utilizado para la identificación del destinatario del evento.
Credencial de prueba de antígeno COVID-19,Un formulario que se utilizará para obtener credenciales de prueba de antígeno COVID-19 verificables para la interoperabilidad básica,disease,Información de la prueba|Enfermedad o agente objetivo|Clasificación de la enfermedad,Necesidad de inmunización contra COVID-19|Reacción adversa a una vacuna COVID-19,Enfermedad o agente que la prueba proporciona detección.
Credencial de prueba de antígeno COVID-19,Un formulario que se utilizará para obtener credenciales de prueba de antígeno COVID-19 verificables para la interoperabilidad básica,testDescription,Información de la prueba|Prueba|Descripción de la prueba,Anticuerpo contra el coronavirus 2 del síndrome respiratorio agudo severo (sustancia)|Antígeno del coronavirus 2 del síndrome respiratorio agudo severo (sustancia)|Anticuerpo de inmunoglobulina G contra el coronavirus 2 del síndrome respiratorio agudo severo (sustancia)|Anticuerpo de la inmunoglobulina M contra el coronavirus 2 del síndrome respiratorio agudo severo (sustancia)|Ácido ribonucleico del coronavirus 2 del síndrome respiratorio agudo severo (sustancia),Descripción genérica de la prueba.
